Date,T2M
2/1/1981,18.29
2/2/1981,15.67
2/3/1981,15.19
2/4/1981,17.93
2/5/1981,19.73
2/6/1981,21.65
2/7/1981,18.79
2/8/1981,16.65
2/9/1981,17.41
2/10/1981,16.5
2/11/1981,15.83
2/12/1981,18.21
2/13/1981,19.6
2/14/1981,21.06
2/15/1981,22.94
2/16/1981,22.42
2/17/1981,20.55
2/18/1981,18.59
2/19/1981,19.23
2/20/1981,19.2
2/21/1981,19.78
2/22/1981,20.05
2/23/1981,21.33
2/24/1981,23.73
2/25/1981,25.13
2/26/1981,24.28
2/27/1981,23.61
2/28/1981,26.37
3/1/1981,24.93
3/2/1981,22.99
3/3/1981,21.51
3/4/1981,22.73
3/5/1981,24.65
3/6/1981,26.48
3/7/1981,26.94
3/8/1981,25.94
3/9/1981,24.01
3/10/1981,25.06
3/11/1981,24.85
3/12/1981,24.88
3/13/1981,20.33
3/14/1981,23.19
3/15/1981,25.66
3/16/1981,23.5
3/17/1981,24.07
3/18/1981,25.37
3/19/1981,27.39
3/20/1981,27.12
3/21/1981,27.51
3/22/1981,26.94
3/23/1981,26.48
3/24/1981,26.06
3/25/1981,26.4
3/26/1981,26.33
3/27/1981,27.7
3/28/1981,28.13
3/29/1981,28.24
3/30/1981,29.17
3/31/1981,29.88
4/1/1981,28.69
4/2/1981,29.13
4/3/1981,30.73
4/4/1981,30.98
4/5/1981,28.72
4/6/1981,27.2
4/7/1981,28.05
4/8/1981,29.71
4/9/1981,30.86
4/10/1981,31.13
4/11/1981,32.93
4/12/1981,31.92
4/13/1981,31.71
4/14/1981,31.67
4/15/1981,32.44
4/16/1981,33.9
4/17/1981,33.18
4/18/1981,32.44
4/19/1981,31.19
4/20/1981,30.04
4/21/1981,31.33
4/22/1981,32.49
4/23/1981,33.2
4/24/1981,33.52
4/25/1981,33.61
4/26/1981,32.9
4/27/1981,32.65
4/28/1981,33.51
4/29/1981,34.43
4/30/1981,32.48
5/1/1981,34.65
5/2/1981,35.65
5/3/1981,34.08
5/4/1981,34.29
5/5/1981,34.98
5/6/1981,35.37
5/7/1981,34.49
5/8/1981,33.87
5/9/1981,33.83
5/10/1981,34.75
5/11/1981,35.04
5/12/1981,35.27
5/13/1981,35.01
5/14/1981,35.92
5/15/1981,37.24
5/16/1981,36.69
5/17/1981,37.06
5/18/1981,36.31
5/19/1981,35.86
5/20/1981,37.47
5/21/1981,37.86
5/22/1981,35.93
5/23/1981,35.77
5/24/1981,34.51
5/25/1981,35.07
5/26/1981,36.34
5/27/1981,36.05
5/28/1981,35.76
5/29/1981,36.57
5/30/1981,37.05
5/31/1981,37
6/1/1981,34.98
6/2/1981,36.33
6/3/1981,38.23
6/4/1981,38.66
6/5/1981,38.19
6/6/1981,38.25
6/7/1981,38.68
6/8/1981,36.77
6/9/1981,38.51
6/10/1981,38.09
6/11/1981,37.34
6/12/1981,38.55
6/13/1981,34.87
6/14/1981,35.3
6/15/1981,36.08
6/16/1981,37.22
6/17/1981,36.6
6/18/1981,35.69
6/19/1981,35.87
6/20/1981,38.47
6/21/1981,35.77
6/22/1981,33.8
6/23/1981,32.94
6/24/1981,33.54
6/25/1981,33.73
6/26/1981,34.71
6/27/1981,34.65
6/28/1981,32.67
6/29/1981,30.57
6/30/1981,31.57
7/1/1981,30.41
7/2/1981,29.74
7/3/1981,30.4
7/4/1981,29.91
7/5/1981,31.01
7/6/1981,30.26
7/7/1981,29.9
7/8/1981,30.07
7/9/1981,29.51
7/10/1981,30.62
7/11/1981,30.48
7/12/1981,30.26
7/13/1981,30.21
7/14/1981,29.62
7/15/1981,29.12
7/16/1981,28.88
7/17/1981,27.36
7/18/1981,28.27
7/19/1981,28.27
7/20/1981,28.62
7/21/1981,29.14
7/22/1981,29.35
7/23/1981,29.05
7/24/1981,28.46
7/25/1981,29.74
7/26/1981,29.01
7/27/1981,28.9
7/28/1981,28.6
7/29/1981,28.01
7/30/1981,28.49
7/31/1981,27.52
8/1/1981,28.19
