Date,T2M
2/14/1981,19.99
3/16/1981,25.63
4/15/1981,31.56
5/16/1981,35.67
6/15/1981,35.89
7/16/1981,29.33
8/16/1981,28.50
9/15/1981,27.80
10/16/1981,23.65
11/15/1981,19.59
12/16/1981,16.28
1/16/1982,17.36
2/14/1982,17.64
3/16/1982,23.21
4/15/1982,31.27
5/16/1982,34.82
6/15/1982,34.81
7/16/1982,33.88
8/16/1982,29.57
9/15/1982,27.26
10/16/1982,26.14
11/15/1982,21.25
12/16/1982,17.65
1/16/1983,16.33
2/14/1983,19.48
3/16/1983,26.26
4/15/1983,29.63
5/16/1983,35.78
6/15/1983,36.59
7/16/1983,33.02
8/16/1983,30.60
9/15/1983,29.72
10/16/1983,25.74
11/15/1983,20.32
12/16/1983,18.01
1/16/1984,16.69
2/15/1984,17.82
3/16/1984,26.72
4/15/1984,33.40
5/16/1984,36.83
6/15/1984,33.14
7/16/1984,30.18
8/16/1984,29.53
9/15/1984,26.50
10/16/1984,24.82
11/15/1984,20.33
12/16/1984,17.74
1/16/1985,17.07
2/14/1985,19.36
3/16/1985,27.97
4/15/1985,33.14
5/16/1985,36.71
6/15/1985,37.54
7/16/1985,31.11
8/16/1985,29.41
9/15/1985,27.74
10/16/1985,23.67
11/15/1985,19.71
12/16/1985,17.07
1/16/1986,16.05
2/14/1986,19.21
3/16/1986,26.09
4/15/1986,32.69
5/16/1986,34.57
6/15/1986,36.64
7/16/1986,29.56
8/16/1986,29.38
9/15/1986,28.39
10/16/1986,26.55
11/15/1986,22.73
12/16/1986,17.93
1/16/1987,16.44
2/14/1987,21.18
3/16/1987,26.41
4/15/1987,32.46
5/16/1987,34.97
6/15/1987,38.74
7/16/1987,32.80
8/16/1987,30.05
9/15/1987,27.50
10/16/1987,24.47
11/15/1987,19.98
12/16/1987,16.59
1/16/1988,17.09
2/15/1988,21.06
3/16/1988,25.98
4/15/1988,33.61
5/16/1988,37.03
6/15/1988,35.14
7/16/1988,30.09
8/16/1988,28.95
9/15/1988,28.84
10/16/1988,26.07
11/15/1988,22.73
12/16/1988,19.00
1/16/1989,15.38
2/14/1989,20.24
3/16/1989,26.02
4/15/1989,31.71
5/16/1989,35.53
6/15/1989,35.23
7/16/1989,30.60
8/16/1989,29.28
9/15/1989,29.11
10/16/1989,27.26
11/15/1989,22.84
12/16/1989,18.08
1/16/1990,18.91
2/14/1990,21.00
3/16/1990,25.44
4/15/1990,32.00
5/16/1990,36.54
6/15/1990,35.44
7/16/1990,29.03
8/16/1990,28.34
9/15/1990,27.73
10/16/1990,24.72
11/15/1990,21.45
12/16/1990,17.66
1/16/1991,16.87
2/14/1991,22.47
3/16/1991,27.96
4/15/1991,32.36
5/16/1991,37.68
6/15/1991,34.36
7/16/1991,32.87
8/16/1991,29.23
9/15/1991,27.47
10/16/1991,24.12
11/15/1991,20.06
12/16/1991,17.67
1/16/1992,16.92
2/15/1992,19.35
3/16/1992,27.27
4/15/1992,33.02
5/16/1992,35.26
6/15/1992,36.52
7/16/1992,32.34
8/16/1992,29.17
9/15/1992,27.61
10/16/1992,25.63
11/15/1992,21.94
12/16/1992,18.34
1/16/1993,17.45
2/14/1993,21.80
3/16/1993,24.45
4/15/1993,31.81
5/16/1993,36.21
6/15/1993,36.60
7/16/1993,32.76
8/16/1993,31.18
9/15/1993,27.13
10/16/1993,25.36
11/15/1993,21.51
12/16/1993,17.30
1/16/1994,18.74
2/14/1994,19.20
3/16/1994,27.52
4/15/1994,32.16
5/16/1994,36.49
6/15/1994,35.78
7/16/1994,31.12
8/16/1994,29.05
9/15/1994,26.53
10/16/1994,24.54
11/15/1994,22.29
12/16/1994,18.07
1/16/1995,15.62
2/14/1995,20.13
3/16/1995,26.36
4/15/1995,32.66
5/16/1995,36.89
